player_id,web_name,team,element_type,game_no,total_points,attack_strength,defence_strength,n_total_points,n_minutes,n_goals_scored,n_assists,n_clean_sheets,n_goals_conceded,n_saves,n_bonus,n_bps,n_influence,n_creativity,n_threat,n_ict_index,n_ea_index,n_open_play_crosses,n_big_chances_created,n_clearances_blocks_interceptions,n_recoveries,n_key_passes,n_tackles,n_winning_goals,n_attempted_passes,n_completed_passes,n_penalties_conceded,n_big_chances_missed,n_errors_leading_to_goal,n_errors_leading_to_goal_attempt,n_tackled,n_offside,n_target_missed,n_fouls,n_dribbles,n_attack_strength,n_defence_strength
2,Leno,Arsenal,Goalkeeper,30,25,470,900,20,450,0,0,1,6,24,1,102,178,0,0,17.8,0,0,0,3,39,0,0,0,156,102,0,0,0,0,0,0,0,0,0,360,830
2,Leno,Arsenal,Goalkeeper,29,26,230,760,20,450,0,0,1,6,23,1,102,167,0,0,16.7,0,0,0,4,45,0,0,0,152,108,0,0,0,0,0,0,0,0,0,650,1110
2,Leno,Arsenal,Goalkeeper,28,23,230,790,23,450,0,0,2,5,20,1,109,154.79999999999998,0,0,15.4,0,0,0,5,50,0,0,0,155,103,0,0,0,0,0,0,0,0,0,450,880
2,Leno,Arsenal,Goalkeeper,27,27,330,840,18,450,0,0,1,6,18,1,96,140.6,0,0,14,0,0,0,5,52,0,0,0,160,111,0,0,0,0,0,0,0,0,0,430,850
2,Leno,Arsenal,Goalkeeper,26,24,380,880,18,450,0,0,1,6,16,1,95,136,0,0,13.5,0,0,0,5,59,0,0,0,169,113,0,0,0,0,0,0,0,0,0,410,880
2,Leno,Arsenal,Goalkeeper,25,20,360,830,14,450,0,0,1,8,12,0,88,103,0,0,10.2,0,0,0,4,63,0,0,0,163,108,0,0,0,0,0,0,0,0,0,430,850
2,Leno,Arsenal,Goalkeeper,24,20,650,1110,14,450,0,0,1,8,13,0,93,116.6,0,0,11.6,0,0,0,4,60,0,0,0,171,115,0,0,0,0,0,0,0,0,0,410,770
2,Leno,Arsenal,Goalkeeper,23,23,450,880,10,450,0,0,0,9,13,0,81,118.39999999999999,0,0,11.8,0,0,0,5,56,0,0,0,177,119,0,0,0,0,0,0,0,0,0,730,1050
2,Leno,Arsenal,Goalkeeper,22,18,430,850,10,450,0,0,0,11,15,0,80,121.8,0,0,12.2,0,0,0,6,55,0,0,0,172,119,0,0,1,0,0,0,0,0,0,780,1080
2,Leno,Arsenal,Goalkeeper,21,18,410,880,14,450,0,0,1,10,12,1,84,100,0,0,10,0,0,0,7,44,0,0,0,172,125,0,0,1,0,0,0,0,0,0,790,1050
